CaseID,Event_Name,City,Year,Month,YYYY-MM,Key_Pollutant,PM2.5_ugm3,NO2_ppb,Temp_C,Rainfall_mm,WindSpeed_ms,PBL_Height_m,DriverCause,Intervention_Type,Policy_Event,Outcome,SourceReference,Notes
CS078,Madrid_Lockdown,Madrid,2020,03,2020-03,NO2,50,Drop 45%,11,35,2.5,420,Vehicle emissions reduction + lockdown measures + industrial slowdown,Behavior Change,COVID-19 State of Emergency,45% NO2 reduction during March 2020 lockdown,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-5P/Air_pollution_remains_low_as_Europeans_stay_at_home,Sentinel-5P satellite data; dramatic pollution drop during lockdown
CS079,Barcelona_Port_Pollution,Barcelona,2021,07,2021-07,NO2,65,98,28,25,3.0,480,Port activities + cruise ships + vehicle emissions + industrial zone + coastal conditions,Policy,Port Electrification Plan,Shore power for ships; emission reduction targets,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Major Mediterranean port; shipping emissions significant contributor
CS080,Brussels_Traffic_Zone,Brussels,2022,09,2022-09,NO2,55,92,16,65,2.2,380,Vehicle emissions + EU district traffic + diesel vehicles + urban density,Policy,Low Emission Zone Expansion,Stricter vehicle standards; diesel restrictions,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,EU capital; diplomatic traffic; chronic NO2 exceedances
CS081,Amsterdam_Port_District,Amsterdam,2021,01,2021-01,NO2,48,85,4,55,3.5,320,Port activities + vehicle emissions + heating + industrial sources,Policy,Zero Emission Zone 2025,Electric vehicle incentives; port emission controls,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Major European port; cycling culture helps but port pollution significant
CS082,Prague_Winter_Inversion,Prague,2023,01,2023-01,PM2.5,72,78,-3,22,1.2,240,Residential heating + vehicle emissions + valley location + winter inversion,Policy,Smog Alert System,Public advisories; vulnerable population warnings,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Historic city; Vltava valley; winter temperature inversions
CS083,Budapest_Danube_Valley,Budapest,2022,12,2022-12,PM10,85,82,0,28,1.5,280,Residential heating + vehicle emissions + river valley + winter conditions,Policy,Air Quality Protection Action Plan,Heating modernization; vehicle restrictions during episodes,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Danube valley location; winter heating pollution
CS084,Bucharest_Heating_Crisis,Bucharest,2023,01,2023-01,PM2.5,78,88,-5,15,1.3,260,Residential heating + vehicle emissions + energy poverty + winter stagnation,Policy,District Heating Improvement,Infrastructure upgrade; emission standards,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Old heating infrastructure; energy poverty drives alternative heating
CS085,Sofia_Valley_Smog,Sofia,2022,01,2022-01,PM10,95,92,-4,25,0.9,220,Residential wood/coal burning + vehicle emissions + valley topography + winter inversion,Policy,Solid Fuel Ban,Restrictions on coal/wood burning in urban areas,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Mountain valley location; energy poverty; wood burning prevalent
CS086,Ljubljana_Basin_Pollution,Ljubljana,2023,12,2023-12,PM2.5,68,75,-1,32,1.1,250,Residential heating + vehicle emissions + basin topography + winter inversion,Policy,Wood Burning Restrictions,Emission standards for heating; traffic management,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Ljubljana basin; Alpine location; chronic winter inversions
CS087,Zagreb_Winter_Episode,Zagreb,2022,01,2022-01,PM10,82,80,-2,28,1.3,270,Residential heating + vehicle emissions + industrial sources + winter conditions,Policy,Emergency Pollution Measures,Traffic restrictions; heating regulations during alerts,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Croatian capital; winter heating season pollution
CS088,Thessaloniki_Winter_Smog,Thessaloniki,2021,12,2021-12,PM10,88,85,6,45,1.8,320,Residential heating + vehicle emissions + port activities + coastal inversion,Policy,Traffic Circulation Restrictions,Vehicle limits; heating fuel standards,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Northern Greece; coastal city; winter heating pollution
CS089,Lisbon_Traffic_Density,Lisbon,2022,08,2022-08,NO2,48,82,26,5,2.8,450,Vehicle emissions + tourist traffic + port activities + hillside topography,Policy,Clean Air Zone Implementation,Vehicle restrictions; public transport expansion,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Seven hills city; tourist traffic; summer pollution episodes
CS090,Stockholm_Winter_Episode,Stockholm,2023,01,2023-01,PM10,42,65,-8,35,2.0,280,Studded tires (road wear) + vehicle emissions + residential heating + winter conditions,Policy,Studded Tire Fee,Congestion charges; emission zones,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Studded winter tires create PM10; road wear major source
CS091,Oslo_Road_Dust,Oslo,2022,03,2022-03,PM10,48,58,2,25,2.5,340,Studded tires (road wear) + vehicle emissions + winter salt + spring dust,Policy,Environmental Differentiated Toll,Higher fees for polluting vehicles; studded tire reduction,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Nordic winter tires; spring road dust problem
CS092,Helsinki_Spring_Dust,Helsinki,2023,04,2023-04,PM10,38,52,5,22,3.0,380,Road dust + studded tires + vehicle emissions + spring conditions,Policy,Road Cleaning Program,Enhanced street sweeping; dust suppression,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Spring road dust from winter; studded tire wear
CS093,Copenhagen_Traffic_NO2,Copenhagen,2022,11,2022-11,NO2,35,68,8,55,3.2,340,Vehicle emissions + port activities + heating + urban density,Policy,Green Mobility Plan,Cycling infrastructure; electric vehicle incentives,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Cycling capital but vehicle emissions remain; port pollution
CS094,Vienna_Winter_PM,Vienna,2023,01,2023-01,PM10,52,72,-2,28,1.5,280,Residential heating + vehicle emissions + winter conditions + basin location,Policy,Heating Emission Standards,Fuel quality requirements; traffic management,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Danube basin; winter heating pollution episodes
CS095,Berlin_Traffic_Diesel,Berlin,2022,07,2022-07,NO2,42,78,22,65,2.8,420,Vehicle emissions (diesel) + traffic density + construction + urban sprawl,Policy,Diesel Driving Bans,Environmental zones; vehicle restrictions,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,German capital; diesel scandal aftermath; NO2 exceedances
CS096,Munich_Alpine_Smog,Munich,2023,12,2023-12,PM10,58,75,0,35,1.2,260,Vehicle emissions + residential heating + Alpine föhn + winter inversion,Policy,Low Emission Zone,Vehicle restrictions; heating standards,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Alpine proximity; föhn wind effects; winter inversions
CS097,Frankfurt_Airport_NO2,Frankfurt,2022,09,2022-09,NO2,45,85,16,52,2.5,380,Airport emissions + vehicle traffic + industrial activity + urban density,Policy,Air Quality Action Plan,Airport emission limits; traffic restrictions,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Major European hub airport; aviation emissions significant
CS098,Stuttgart_Valley_Trap,Stuttgart,2023,01,2023-01,PM10,68,88,-1,28,1.0,240,Vehicle emissions (automotive industry) + valley topography + winter heating + inversion,Policy,Traffic Restrictions Expanded,Diesel bans; emergency measures during episodes,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Automotive capital in valley; chronic pollution; Germany's worst air quality
CS099,Marseille_Port_Emissions,Marseille,2022,07,2022-07,NO2,52,92,28,12,3.5,480,Port activities (cruise ships) + vehicle emissions + industrial zone + Mediterranean conditions,Policy,Port Low Emission Strategy,Shore power implementation; emission controls,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Major Mediterranean port; cruise ship emissions major source
CS100,Lyon_Winter_Inversion,Lyon,2023,01,2023-01,PM10,72,82,2,35,1.2,280,Vehicle emissions + residential heating + industrial activity + Rhône valley + inversion,Policy,Traffic Restriction Measures,Emergency vehicle limits; heating regulations,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Rhône-Saône confluence; valley location; winter inversions
CS101,Toulouse_Traffic_Growth,Toulouse,2022,11,2022-11,NO2,48,85,12,58,2.2,360,Vehicle emissions + urban sprawl + aerospace industry + traffic growth,Policy,Low Emission Zone Implementation,Vehicle restrictions; public transport expansion,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Aerospace capital; rapid growth; traffic density increasing
CS102,Dublin_Traffic_Congestion,Dublin,2022,08,2022-08,NO2,38,75,16,72,3.8,420,Vehicle emissions + traffic congestion + port activities + limited public transport,Policy,Traffic Management Plan,Bus corridor expansion; congestion pricing considered,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Coastal capital; traffic congestion; public transport limited
CS103,Manchester_Urban_NO2,Manchester,2022,09,2022-09,NO2,42,82,14,88,3.2,380,Vehicle emissions + industrial legacy + urban density + traffic congestion,Policy,Clean Air Zone,Charging for polluting vehicles; emission standards,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Industrial heritage city; vehicle emissions dominant source
CS104,Birmingham_Traffic_Zone,Birmingham,2023,06,2023-06,NO2,38,78,18,65,2.8,420,Vehicle emissions + motorway network + urban sprawl + traffic density,Policy,Clean Air Zone Expansion,Vehicle charging; emission standards,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,UK's second city; extensive motorway network; NO2 exceedances
CS105,Glasgow_Traffic_NO2,Glasgow,2022,11,2022-11,NO2,35,72,8,95,4.2,340,Vehicle emissions + topographic channeling + industrial legacy + traffic,Policy,Low Emission Zone,Vehicle restrictions; public transport improvements,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Scottish city; Clyde valley; vehicle emissions focus
CS106,Leeds_Urban_Pollution,Leeds,2023,07,2023-07,NO2,40,75,19,58,2.5,400,Vehicle emissions + traffic congestion + urban density + limited transit,Policy,Clean Air Charging Zone,Fees for older vehicles; emission reduction targets,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Yorkshire city; traffic density; NO2 compliance challenges
CS107,Antwerp_Port_Complex,Antwerp,2022,08,2022-08,NO2,48,95,22,68,3.0,420,Port activities (Europe's 2nd largest) + petrochemical industry + vehicle emissions,Policy,Port Emission Reduction Plan,Industrial controls; shore power; traffic management,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Major European port; petrochemical cluster; industrial pollution
CS108,Rotterdam_Industrial_Port,Rotterdam,2022,09,2022-09,NO2,52,98,17,75,3.5,400,Port activities (Europe's largest) + refinery + industrial complex + shipping,Policy,Port of Rotterdam Clean Air Strategy,Emission reduction targets; shore power expansion,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,World's largest European port; massive industrial complex
CS109,Genoa_Port_Valley,Genoa,2023,01,2023-01,PM10,75,88,8,65,1.8,300,Port activities + vehicle emissions + valley topography + residential heating + coastal inversion,Policy,Port Emission Controls,Traffic restrictions; heating standards,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Ligurian coast; narrow valley; port and traffic pollution
CS110,Naples_Urban_Crisis,Naples,2022,12,2022-12,PM10,82,92,10,85,2.0,320,Vehicle emissions + illegal waste burning + port activities + urban density + Vesuvius topography,Policy,Emergency Waste Management,Enhanced controls; traffic measures,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Complex topography; waste crisis; illegal burning adds to pollution
CS111,Tianjin_Industrial_Smog,Tianjin,2017,01,2017-01,PM2.5,320,115,-4,8,1.2,220,Coal combustion + heavy industry (steel/chemicals) + port activities + winter heating + stagnation,Policy,Air Pollution Prevention Plan,Industrial upgrades; coal reduction; vehicle controls,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Major industrial port; severe winter pollution; PM2.5 reduction from 88 to 55 by 2018
CS112,Wuhan_Central_China,Wuhan,2017,12,2017-12,PM2.5,155,95,2,22,1.5,300,Industrial emissions + vehicle traffic + winter heating + Yangtze river valley + meteorology,Policy,Blue Sky Protection Campaign,Industrial controls; vehicle restrictions,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Central China hub; Yangtze location; winter pollution episodes
CS113,Chengdu_Basin_Trap,Chengdu,2018,01,2018-01,PM2.5,185,102,-1,15,1.0,240,Coal combustion + vehicle emissions + industrial activity + Sichuan basin + winter inversion,Policy,Sichuan Blue Sky Plan,Coal restrictions; industrial controls; vehicle limits,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(17)30024-4/fulltext,Sichuan basin location; December 2016 major smog over 500 μg/m³
CS114,Xian_Historical_City,Xi'an,2018,01,2018-01,PM2.5,175,98,-2,12,1.3,260,Coal heating + vehicle emissions + industrial sources + winter inversion + topography,Policy,Coal Burning Restrictions,Clean heating transition; emission controls,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Historical city; winter heating pollution; valley location
CS115,Nanjing_Yangtze_Delta,Nanjing,2017,12,2017-12,PM2.5,148,92,3,25,1.8,320,Industrial emissions + vehicle traffic + regional transport + winter conditions,Policy,Yangtze Delta Cooperation Plan,Regional emission controls; coordinated actions,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Yangtze River Delta; regional pollution transport
CS116,Hangzhou_Tech_City,Hangzhou,2018,01,2018-01,PM2.5,128,88,5,32,2.0,340,Vehicle emissions + construction boom + industrial sources + winter heating + regional transport,Policy,Air Quality Improvement Plan,Vehicle restrictions; construction controls,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Tech hub; rapid development; winter pollution episodes
CS117,Jinan_Spring_City,Jinan,2017,01,2017-01,PM2.5,195,105,-3,5,1.2,240,Coal combustion + heavy industry + vehicle emissions + mountain valley + winter inversion,Policy,Emergency Response Measures,School closures; traffic restrictions; industrial halts,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Mountain-ringed city; severe winter inversions
CS118,Zhengzhou_Transport_Hub,Zhengzhou,2016,12,2016-12,PM2.5,240,110,-2,8,1.3,250,Coal combustion + vehicle emissions + construction dust + industrial activity + winter stagnation,Policy,Winter Heating Control Plan,Coal quality standards; emission controls,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(17)30024-4/fulltext,Central transport hub; Henan province; December 2016 exceeded 500 μg/m³
CS119,Taiyuan_Coal_Capital,Taiyuan,2017,01,2017-01,PM2.5,210,108,-5,5,1.0,220,Coal mining/combustion + heavy industry + winter heating + valley topography + inversion,Policy,Coal Industry Reform,Mine closures; clean heating; industrial upgrades,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Coal capital of China; chronic pollution; valley location
CS120,Lanzhou_Valley_City,Lanzhou,2018,12,2018-12,PM2.5,168,95,-8,8,1.2,200,Coal combustion + petrochemical industry + vehicle emissions + narrow valley + winter inversion,Policy,Valley Pollution Control Plan,Industrial relocation; emission standards,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Narrow Yellow River valley; extreme topographic constraint
CS121,Urumqi_Western_China,Ürümqi,2018,01,2018-01,PM2.5,195,85,-15,5,1.5,180,Coal heating + vehicle emissions + industrial sources + extreme cold + basin topography,Policy,Coal to Gas Conversion,Clean heating transition; emission controls,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Westernmost major city; extreme cold; heavy heating demand
CS122,Hohhot_Inner_Mongolia,Hohhot,2017,12,2017-12,PM2.5,152,88,-12,8,2.0,240,Coal heating + vehicle emissions + dust storms + winter conditions + steppe location,Policy,Clean Heating Program,Coal replacement; emission standards,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Inner Mongolia; coal heating; dust and smog combination
CS123,Shenyang_Northeast_China,Shenyang,2017,11,2017-11,PM2.5,188,102,-8,12,1.3,240,Coal heating + heavy industry (machinery) + vehicle emissions + winter inversion,Policy,Heating Season Controls,Industrial restrictions; clean heating push,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Northeast rust belt; heavy industry legacy; severe winters
CS124,Changchun_Auto_City,Changchun,2018,01,2018-01,PM2.5,165,95,-18,8,1.8,220,Coal heating + vehicle emissions + automotive industry + extreme cold + winter stagnation,Policy,Winter Pollution Control,Heating improvements; industrial controls,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Auto manufacturing hub; extreme cold; heavy heating needs
CS125,Dalian_Port_Industry,Dalian,2017,12,2017-12,PM2.5,142,88,-6,18,2.5,300,Port activities + petrochemical industry + vehicle emissions + winter heating + coastal conditions,Policy,Port Emission Controls,Industrial upgrades; clean heating,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Major northeastern port; industrial complex; winter pollution
CS126,Qingdao_Coastal_City,Qingdao,2018,01,2018-01,PM2.5,125,82,-2,22,3.0,340,Vehicle emissions + port activities + industrial sources + winter heating + regional transport,Policy,Blue Bay Action Plan,Port controls; industrial emission limits,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Coastal city; port pollution; winter episodes
CS127,Ningbo_Port_Complex,Ningbo,2017,12,2017-12,PM2.5,135,85,6,28,2.2,320,Port activities + petrochemical industry + vehicle emissions + regional transport,Policy,Port Green Development,Emission controls; industrial upgrades,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Major port; petrochemical base; regional pollution
CS128,Suzhou_Industrial_Park,Suzhou,2018,01,2018-01,PM2.5,138,88,4,25,1.8,320,Manufacturing + vehicle emissions + construction + winter heating + regional transport,Policy,Industrial Emission Standards,Factory controls; vehicle restrictions,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Manufacturing hub; Yangtze Delta; regional pollution
CS129,Foshan_Pearl_Delta,Foshan,2017,12,2017-12,PM2.5,152,95,14,18,1.5,340,Manufacturing (ceramics/furniture) + vehicle emissions + construction + regional transport,Policy,Pearl Delta Coordination,Industrial upgrades; emission controls,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Manufacturing city; Pearl River Delta; regional challenge
CS130,Dongguan_Factory_City,Dongguan,2018,01,2018-01,PM2.5,145,92,15,22,1.8,360,Manufacturing (electronics) + vehicle emissions + construction boom + regional pollution,Policy,Industrial Restructuring,Factory relocation; emission standards,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,World's factory floor; massive manufacturing; air quality improving
CS131,Pune_IT_Growth,Pune,2022,11,2022-11,PM2.5,135,85,22,15,2.0,380,Vehicle emissions + construction boom + industrial activity + Diwali fireworks + winter conditions,Policy,Vehicle Emission Norms,BS-VI standards; construction dust control,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,IT hub; rapid growth; seasonal pollution spikes
CS132,Hyderabad_Tech_City,Hyderabad,2021,11,2021-11,PM2.5,148,82,24,12,1.8,400,Vehicle emissions + construction dust + industrial sources + fireworks + thermal inversion,Policy,Telangana Pollution Control,Vehicle restrictions; construction regulations,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Tech city; rapid urbanization; Diwali pollution spike
CS133,Chennai_Port_City,Chennai,2022,01,2022-01,PM2.5,115,75,26,35,2.5,420,Vehicle emissions + port activities + industrial zone + construction + coastal conditions,Policy,Tamil Nadu Clean Air Plan,Port emission controls; vehicle standards,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Major port; auto manufacturing; coastal pollution
CS134,Bangalore_Traffic_Boom,Bengaluru,2022,11,2022-11,PM2.5,125,88,22,55,2.2,400,Vehicle emissions (rapid motorization) + construction boom + trash burning + Diwali,Policy,Bangalore Mobility Plan,Metro expansion; vehicle emission norms,https://airquality.gsfc.nasa.gov/forecast,IT capital; explosive growth; traffic nightmare; altitude 900m
CS135,Ahmedabad_Industrial,Ahmedabad,2021,11,2021-11,PM2.5,165,92,24,8,1.8,360,Industrial emissions (textiles/chemicals) + vehicle traffic + construction + Diwali fireworks,Policy,Gujarat Air Quality Plan,Industrial controls; vehicle standards,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Industrial hub; textile capital; seasonal spikes
CS136,Surat_Diamond_City,Surat,2022,11,2022-11,PM2.5,142,85,26,12,2.0,380,Industrial emissions (textiles/diamonds) + vehicle emissions + construction + fireworks,Policy,Emission Control Measures,Industrial standards; traffic management,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Diamond polishing; textile manufacturing; industrial pollution
CS137,Kanpur_Leather_Hub,Kanpur,2021,11,2021-11,PM2.5,285,102,20,8,1.5,320,Industrial emissions (leather/textiles) + vehicle traffic + crop burning + brick kilns + winter stagnation,Policy,Leather Industry Controls,Tannery emission standards; brick kiln regulations,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Leather capital; chronic pollution; Ganges plains location
CS138,Lucknow_Capital_Smog,Lucknow,2021,11,2021-11,PM2.5,245,95,19,5,1.2,300,Crop residue burning + vehicle emissions + construction + fireworks + thermal inversion,Policy,Stubble Burning Ban,Penalties increased; crop management programs,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,UP capital; Indo-Gangetic plains; severe November pollution
CS139,Jaipur_Pink_City,Jaipur,2022,11,2022-11,PM2.5,195,88,18,2,1.8,340,Vehicle emissions + construction dust + Diwali fireworks + desert dust + winter conditions,Policy,Jaipur Smart City Plan,Traffic management; construction controls; green initiatives,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Tourist city; desert location; seasonal pollution spikes
CS140,Indore_Commercial_Hub,Indore,2021,11,2021-11,PM2.5,152,82,22,8,2.0,360,Vehicle emissions + industrial activity + construction + fireworks + agricultural burning,Policy,Cleanest City Initiative,Waste management; emission controls; urban greening,https://airquality.gsfc.nasa.gov/forecast,Commercial center; rapid growth; seasonal episodes
CS141,Nagpur_Orange_City,Nagpur,2022,11,2022-11,PM2.5,138,78,24,12,2.2,380,Vehicle emissions + construction dust + industrial sources + fireworks + agricultural burning,Policy,Maharashtra Clean Air Plan,Vehicle standards; construction regulations,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Central India; commercial hub; winter pollution episodes
CS142,Varanasi_Holy_City,Varanasi,2021,11,2021-11,PM2.5,268,98,18,5,1.3,300,Cremation emissions + vehicle traffic + crop burning + fireworks + industrial sources + thermal inversion,Policy,Ganga Action Plan,Electric cremation; vehicle controls; emission monitoring,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Sacred city; Ganges location; cremation ghats add to pollution
CS143,Patna_Bihar_Capital,Patna,2021,11,2021-11,PM2.5,295,105,19,8,1.2,280,Crop residue burning + vehicle emissions + brick kilns + construction + fireworks + thermal inversion,Policy,Bihar Air Quality Plan,Crop burning penalties; brick kiln standards,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Ganges plains; agricultural burning; brick kiln pollution
CS144,Ghaziabad_NCR_Satellite,Ghaziabad,2021,11,2021-11,PM2.5,315,108,18,5,1.0,290,Industrial emissions + vehicle traffic + crop burning + construction + proximity to Delhi,Policy,NCR Air Quality Plan,Industrial controls; coordinated regional measures,https://airquality.gsfc.nasa.gov/forecast,Delhi NCR; industrial satellite; consistently worst AQI in India
CS145,Noida_IT_Corridor,Noida,2021,11,2021-11,PM2.5,288,102,19,5,1.2,300,Construction boom + vehicle emissions + industrial activity + regional pollution transport,Policy,Noida Authority Action Plan,Construction dust control; green belt expansion,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Delhi NCR; rapid development; construction pollution
CS146,Faridabad_Industrial,Faridabad,2021,11,2021-11,PM2.5,275,98,18,8,1.3,310,Industrial emissions (manufacturing) + vehicle traffic + regional transport from Delhi,Policy,Haryana Clean Air Plan,Industrial emission limits; vehicle restrictions,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,NCR industrial zone; manufacturing hub; regional pollution
CS147,Gurugram_Corporate_City,Gurugram,2021,11,2021-11,PM2.5,265,95,19,5,1.5,320,Vehicle emissions + construction boom + crop burning + industrial activity,Policy,Millennium City Action Plan,Traffic management; construction regulations,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Corporate hub; rapid growth; NCR pollution challenge
CS148,Chandigarh_Planned_City,Chandigarh,2021,11,2021-11,PM2.5,185,82,16,8,2.0,340,Crop residue burning + vehicle emissions + construction + fireworks,Policy,Chandigarh Clean Air Plan,Stubble burning ban; vehicle controls,https://airquality.gsfc.nasa.gov/forecast,Planned city; relatively better but still impacted by regional burning
CS149,Amritsar_Golden_City,Amritsar,2021,11,2021-11,PM2.5,248,92,15,5,1.5,300,Crop residue burning (paddy) + vehicle emissions + fireworks + industrial activity,Policy,Punjab Stubble Ban,Penalties for burning; alternative crop management,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Punjab breadbasket; severe crop burning pollution
CS150,Ludhiana_Industrial_Hub,Ludhiana,2021,11,2021-11,PM2.5,235,95,16,8,1.6,310,Industrial emissions (textiles/manufacturing) + crop burning + vehicle traffic + fireworks,Policy,Industrial Emission Standards,Factory controls; vehicle restrictions,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Industrial capital Punjab; crop burning and industry combination
CS151,Baghdad_Conflict_Zone,Baghdad,2023,07,2023-07,PM2.5,80,110,40,0,3.5,580,Vehicle emissions + dust storms + oil field emissions + power plant pollution + conflict aftermath,Policy,Environmental Monitoring Initiative,First comprehensive air quality monitoring network,https://www.arabnews.com/node/2384306/middle-east,War-torn city; PM2.5 average 80 μg/m³; most polluted Middle East city
CS152,Manama_Island_Pollution,Manama,2023,08,2023-08,PM2.5,67,95,38,0,4.2,620,Oil/gas infrastructure + vehicle emissions + industrial activity + desert dust + marine conditions,Policy,Bahrain Environmental Plan,Emission controls; monitoring expansion,https://www.arabnews.com/node/2384306/middle-east,Island nation; oil infrastructure; PM2.5 66.6 μg/m³ annual average
CS153,Kuwait_City_Heat,Kuwait City,2023,07,2023-07,PM2.5,56,102,46,0,5.0,680,Oil field emissions + vehicle traffic + dust storms + extreme heat + industrial activity,Policy,Kuwait Vision 2035,Renewable energy transition; emission controls,https://www.arabnews.com/node/2384306/middle-east,Oil state; extreme heat; PM2.5 55.8 μg/m³; dust and oil emissions
CS154,Dhahran_Oil_Hub,Dhahran,2023,06,2023-06,PM2.5,42,88,42,0,4.5,640,Oil infrastructure + industrial activity + vehicle emissions + desert dust,Policy,Saudi Green Initiative,Industrial emission controls; environmental standards,https://www.arabnews.com/node/2384306/middle-east,Oil capital; PM2.5 41.5 μg/m³; industrial pollution focus
CS155,Dubai_Construction_Boom,Dubai,2022,08,2022-08,PM2.5,45,85,38,0,3.8,580,Construction dust + vehicle emissions + industrial activity + desert conditions,Policy,Dubai Clean Air Strategy,Construction controls; environmental regulations cut NOx by 60%,https://airquality.gsfc.nasa.gov/world/middle-east,Rapid development; NOx emissions decreased significantly with environmental regulations
CS156,Abu_Dhabi_Industrial,Abu Dhabi,2023,07,2023-07,PM2.5,38,78,40,0,4.0,600,Oil/gas infrastructure + vehicle emissions + industrial zone + construction + desert dust,Policy,UAE Net Zero 2050,Industrial emission standards; renewable energy push,https://www.arabnews.com/node/2384306/middle-east,Capital emirate; oil infrastructure; transitioning to clean energy
CS157,Doha_Rapid_Growth,Doha,2023,06,2023-06,PM2.5,48,92,42,0,4.5,620,Construction boom + vehicle emissions + oil/gas activities + desert dust,Policy,Qatar National Vision 2030,Environmental sustainability; emission controls,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,World Cup infrastructure; rapid development; desert location
CS158,Muscat_Mountain_Coast,Muscat,2023,05,2023-05,PM2.5,52,82,36,5,3.5,520,Vehicle emissions + port activities + oil infrastructure + desert dust + mountain topography,Policy,Oman Vision 2040,Emission standards; environmental monitoring,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Coastal capital; mountains and sea; oil economy pollution
CS159,Amman_Vehicle_Density,Amman,2022,07,2022-07,PM2.5,45,88,32,0,3.0,480,Vehicle emissions + construction dust + desert conditions + topographic bowl,Policy,Greater Amman Air Quality Plan,Vehicle standards; traffic management,https://epic.uchicago.edu/insights/the-middle-east-and-north-africa-emerge-as-new-pollution-hotspots/,Hilly capital; vehicle density; water scarcity compounds dust
